DateTime,GPS_Lat,GPS_Long,Depth_m,Temp_C,GPS_FixQuality,GPS_n_Sat,GPS_HDoP,GPS_Altitude,GPS_T_TMG,GPS_M_TMG,GPS_SOG_N,GPS_SOG_K,GPS_MagVar
2025-08-18 14:43:15,43.0178500,-87.9036667,3.29,23.32,,,,,102.40,,0.20,,-3.10
2025-08-18 14:43:16,43.0178500,-87.9036667,3.29,23.32,,,,,127.40,,0.20,,-3.10
2025-08-18 14:43:17,43.0178500,-87.9036667,3.29,23.32,,,,,78.10,,0.20,,-3.10
2025-08-18 14:43:18,43.0178500,-87.9036667,3.29,23.32,,,,,45.50,,0.20,,-3.10
2025-08-18 14:43:19,43.0178500,-87.9036667,3.29,23.32,,,,,55.90,,0.20,,-3.10
2025-08-18 14:43:20,43.0178500,-87.9036667,3.29,23.32,,,,,117.10,,0.20,,-3.10
2025-08-18 14:43:21,43.0178500,-87.9036667,3.29,23.32,,,,,139.00,,0.20,,-3.10
2025-08-18 14:43:22,43.0178500,-87.9036667,3.29,23.32,,,,,78.80,,0.20,,-3.10
2025-08-18 14:43:23,43.0178500,-87.9036667,3.29,23.32,,,,,27.20,,0.20,,-3.10
2025-08-18 14:43:24,43.0178500,-87.9036667,3.29,23.32,,,,,27.90,,0.20,,-3.10
2025-08-18 14:43:25,43.0178500,-87.9036667,3.29,23.32,,,,,115.70,,0.20,,-3.10
2025-08-18 14:43:26,43.0178500,-87.9036667,3.29,23.32,,,,,179.00,,0.20,,-3.10
2025-08-18 14:43:27,43.0178500,-87.9036667,3.29,23.32,,,,,47.40,,0.20,,-3.10
2025-08-18 14:43:28,43.0178500,-87.9036667,3.29,23.32,,,,,25.10,,0.20,,-3.10
2025-08-18 14:43:29,43.0178500,-87.9036667,3.29,23.32,,,,,174.90,,0.20,,-3.10
2025-08-18 14:43:30,43.0178500,-87.9036667,3.29,23.31,,,,,164.00,,0.00,,-3.10
2025-08-18 14:43:31,43.0178500,-87.9036667,3.29,23.32,,,,,95.00,,0.00,,-3.10
2025-08-18 14:43:32,43.0178500,-87.9036667,3.29,23.32,,,,,37.40,,0.00,,-3.10
2025-08-18 14:43:33,43.0178500,-87.9036667,3.29,23.32,,,,,34.70,,0.20,,-3.10
2025-08-18 14:43:34,43.0178500,-87.9036667,3.29,23.32,,,,,220.60,,0.20,,-3.10
2025-08-18 14:43:35,43.0178500,-87.9036667,3.29,23.32,,,,,190.70,,0.00,,-3.10
2025-08-18 14:43:36,43.0178500,-87.9036667,3.29,23.32,,,,,88.90,,0.00,,-3.10
2025-08-18 14:43:37,43.0178500,-87.9036667,3.29,23.33,,,,,18.90,,0.00,,-3.10
2025-08-18 14:43:38,43.0178500,-87.9036667,3.29,23.32,,,,,333.90,,0.20,,-3.10
